formula,teste,mlp,randomForest,svm,xbr,k,e,c,gamma
potencia,1,0.24420190995907232,0.24427480916030533,0.18818181818181817,0.2290909090909091
potencia,2,0.208731241473397,0.24863685932388221,0.19272727272727272,0.24181818181818182
potencia,3,0.20327421555252387,0.2693565976008724,0.1918181818181818,0.2581818181818182
alongamento,2,0.21964529331514324,0.2366412213740458,0.19363636363636363,0.25545454545454543
logaritmo,2,0.2019099590723056,0.247546346782988,0.18818181818181817,0.22090909090909092
alongamento,1,0.22100954979536153,0.247546346782988,0.19545454545454546,0.23636363636363636
logaritmo,1,0.22783083219645292,0.2606324972737186,0.17727272727272728,0.23545454545454544
logaritmo,3,0.19508867667121418,0.2584514721919302,0.17272727272727273,0.2190909090909091
alongamento,0,0.19508867667121418,0.21919302071973829,0.18181818181818182,0.22545454545454546
logaritmo,0,0.22373806275579808,0.24318429661941113,0.18727272727272729,0.24545454545454545
negativo,0,0.1937244201909959,0.22900763358778625,0.1918181818181818,0.23363636363636364
alongamento,3,0.24010914051841747,0.27044711014176664,0.19,0.2636363636363636
potencia,0,0.19508867667121418,0.24427480916030533,0.1890909090909091,0.24727272727272728
